胶原蛋白软胶囊(奈世康)买二赠一	￥0.01
地枫皮	￥0.29
陈皮(彭祖)	￥0.30
枣槟榔	￥0.30
小叶鸡尾草	￥0.30
生姜皮	￥0.30
大豆黄卷	￥0.30
石上柏	￥0.30
枯矾	￥0.30
蒸狗脊	￥0.30
苎麻根	￥0.30
小茴香	￥0.30
葫芦巴	￥0.30
海桐皮	￥0.30
淡竹叶	￥0.30
紫苏梗	￥0.30
首乌藤	￥0.30
地骷髅	￥0.31
猫须草(彭祖)	￥0.31
苦丁茶	￥0.31
合欢皮	￥0.31
积雪草	￥0.31
羊蹄根	￥0.32
杠板归(河白草)	￥0.32
麻黄根	￥0.32
炒决明子	￥0.32
焦山楂	￥0.32
牵牛子	￥0.32
地耳草	￥0.32
大枣	￥0.33
香加皮	￥0.33
槐角	￥0.33
仙鹤草	￥0.33
马齿苋	￥0.33
大血藤	￥0.33
枸骨叶	￥0.34
胡枝子	￥0.34
炒蔓荆子	￥0.34
凤仙透骨草	￥0.34
番泻叶	￥0.34
六月雪	￥0.34
芦根	￥0.34
炒火麻仁	￥0.34
蔓荆子	￥0.34
紫花地丁	￥0.34
青蒿	￥0.34
金钱草	￥0.34
荆芥	￥0.34
毛冬青	￥0.34
海枫藤	￥0.34
番泻叶	￥0.34
木芙蓉叶	￥0.34
功劳叶	￥0.34
凤仙透骨草	￥0.34
蜜枇杷叶	￥0.34
卷柏	￥0.35
槟榔	￥0.35
高良姜	￥0.35
地锦草	￥0.35
墨旱莲	￥0.35
石决明	￥0.35
白药子	￥0.36
天浆壳	￥0.36
石燕	￥0.36
穿山龙	￥0.36
绵马贯众炭	￥0.36
地榆	￥0.36
炒白扁豆	￥0.36
佩兰	￥0.36
鸡内金	￥0.36
炒诃子	￥0.37
石见穿	￥0.37
白英	￥0.37
旋覆花	￥0.37
叶下珠	￥0.38
黛蛤散	￥0.38
锁阳	￥0.38
败酱草	￥0.38
凤尾草	￥0.38
瓜蒌皮	￥0.39
蜜马兜铃	￥0.39
煅石决明	￥0.39
建曲	￥0.40
开塞露(含甘油)	￥0.40
绵萆薢	￥0.40
西青果	￥0.40
广藿香	￥0.40
柿蒂	￥0.41
石韦	￥0.41
千年健	￥0.41
莱菔子	￥0.41
桂皮	￥0.42
白芷	￥0.42
煨木香	￥0.42
葶苈子	￥0.42
片姜黄	￥0.43
炒瓜蒌皮	￥0.43
漏芦	￥0.44
葛花	￥0.44
海藻	￥0.44
煨葛根	￥0.44
昆布	￥0.44
荆芥炭	￥0.44
鸡骨草	￥0.44
炒蒺藜	￥0.44
木瓜	￥0.44
鸡冠花	￥0.44
炒鸡内金	￥0.45
炒白芥子	￥0.45
筋骨草	￥0.46
玄参	￥0.46
杜仲	￥0.46
骨碎补	￥0.47
独活	￥0.47
野料豆	￥0.47
海螵蛸	￥0.47
人中黄	￥0.48
姜炭	￥0.48
香橼	￥0.48
白茅根	￥0.49
苦参	￥0.49
半枝莲	￥0.49
医用棉签(新倍生)	￥0.50
甜橘叶	￥0.50
吉他霉素片	￥0.50
洁云迷你手帕纸	￥0.50
山楂(彭祖)	￥0.50
马兰根	￥0.50
使君子	￥0.50
喜树果	￥0.50
开塞露(含山梨醇)	￥0.50
盐补骨脂	￥0.50
炒大豆黄卷	￥0.50
消毒用具 扬州 一次性使用医用棉签	￥0.50
甲紫溶液	￥0.50
开塞露(含甘油)	￥0.50
春柴胡	￥0.50
醋莪术	￥0.50
粉萆薢	￥0.50
化橘红	￥0.50
金樱子	￥0.50
醋乌梅	￥0.50
水牛角	￥0.50
黄柏	￥0.51
垂盆草	￥0.51
盐杜仲	￥0.51
板兰根	￥0.52
何首乌	￥0.53
罗布麻叶	￥0.53
陈棕炭	￥0.54
天花粉	￥0.54
大黄	￥0.54
桑白皮	￥0.54
鹅不食草	￥0.55
炒白芍	￥0.55
桑寄生	￥0.55
白蔹	￥0.55
炒冬瓜子	￥0.55
鱼腥草	￥0.55
蜜桑白皮	￥0.55
炒鸡内金	￥0.55
乌药	￥0.56
续断	￥0.56
牛膝	￥0.56
楮实子	￥0.56
白前	￥0.57
预知子	￥0.57
火麻仁	￥0.57
炒瓜蒌	￥0.57
白前	￥0.57
盐黄柏	￥0.57
知母	￥0.58
蜜紫菀	￥0.58
槲寄生	￥0.58
薏苡仁	￥0.58
土茯苓	￥0.58
墓头回	￥0.59
肾炎草	￥0.59
墓头回	￥0.59
泽泻	￥0.59
强心加强心肌收缩力改善心脏功能 抗血栓形成 山东 丹参	￥0.60
绞股蓝	￥0.60
七叶莲	￥0.60
茺蔚子	￥0.60
医用脱脂棉	￥0.60
氯酚黄敏片(感冒通片)	￥0.60
开塞露(含甘油)	￥0.60
盐续断	￥0.60
生地黄	￥0.60
甘草	￥0.60
炒海螵蛸	￥0.60
白花蛇舌草	￥0.60
炒牛膝	￥0.61
盐知母	￥0.61
姜黄	￥0.61
木馒头	￥0.61
麻黄	￥0.61
蒲公英	￥0.62
土荆皮	￥0.62
野菊花	￥0.62
熟大黄	￥0.63
姜竹茹	￥0.63
姜厚朴	￥0.63
五倍子	￥0.63
丰胸 葛根1	￥0.64
解表退热，生津，透疹，升阳止泻 葛根1	￥0.64
川牛膝	￥0.64
密蒙花	￥0.64
黄芩	￥0.65
制香附	￥0.65
干姜	￥0.66
制首乌	￥0.66
万年青根(白河车)	￥0.67
芡实	￥0.67
鹿衔草	￥0.67
八角茴香	￥0.67
胆南星	￥0.68
炒薏苡仁	￥0.68
苦杏仁	￥0.68
苦杏仁	￥0.68
夏枯草	￥0.68
百部	￥0.69
蜜百部	￥0.69
百合花	￥0.70
蒲葵子	￥0.70
黑豆衣	￥0.70
虎耳草	￥0.70
紫菀	￥0.70
清热解毒，泻火通便 山西亚宝药业 三黄片	￥0.70
氨咖黄敏胶囊	￥0.70
氨咖黄敏胶囊	￥0.70
关节止痛膏	￥0.70
维生素B12片	￥0.70
莲子	￥0.71
橘红	￥0.71
蜜麻黄	￥0.71
炙甘草	￥0.72
拳参(草河车)	￥0.73
防风	￥0.73
木蝴蝶	￥0.73
地肤子	￥0.74
芦荟	￥0.74
补气固表 利尿脱毒 排脓 敛疮生肌黄芪	￥0.75
栀子	￥0.75
行气开郁 法风燥湿 活血止痛 川芎1	￥0.77
北豆根	￥0.78
威灵仙	￥0.78
青葙子	￥0.78
水红花子	￥0.79
炮姜	￥0.79
厚朴花	￥0.79
功劳子	￥0.80
大风子	￥0.80
蛇六谷	￥0.80
刺五加	￥0.80
防灰尘 扬州市长城医疗器械一次性使用医用口罩	￥0.80
用于脓疱疮、痤疮、皮肤感染 安徽新和成皖南药业 红霉素软膏	￥0.80
晕车、晕船、晕机-茶苯海明片	￥0.80
经性皮炎慢性湿疹 银屑病 广东恒健 曲安奈德新霉素贴膏	￥0.80
抗厌氧菌感染  湖北华中药业 甲硝唑片	￥0.80
甲紫溶液	￥0.80
清热解毒 咽喉肿痛 牙龈肿痛 亚宝药业 牛黄解毒片	￥0.80
早早孕检测试条 伊敏秀	￥0.80
硝苯地平片(心痛定片)	￥0.80
开塞露(含甘油长颈型)	￥0.80
食母生片	￥0.80
维C银翘片	￥0.80
石菖蒲	￥0.80
开塞露	￥0.80
天竺黄	￥0.81
白芍	￥0.81
韭菜子	￥0.81
炒牛蒡子	￥0.81
煅龙骨	￥0.84
蛇床子	￥0.84
白头翁	￥0.84
龙骨	￥0.84
刀豆子	￥0.85
无花果	￥0.85
半边莲	￥0.85
草豆蔻	￥0.85
滋阴补血，益精填髓 河南 熟地黄	￥0.86
夏天无	￥0.86
醋三棱	￥0.86
蜜升麻	￥0.86
急性子	￥0.86
渗湿利水 健脾和胃 宁心安神 茯苓	￥0.87
红景天	￥0.87
丝瓜络	￥0.87
茯苓	￥0.87
升麻	￥0.88
葛根(彭祖)	￥0.90
地黄(彭祖)	￥0.90
海浮石	￥0.90
乳酶生片	￥0.90
辛夷	￥0.90
脓疱疮等化脓性皮肤病、红霉素软膏（鲁抗）	￥0.90
氢氯噻嗪片(双克)	￥0.90
马来酸氯苯那敏片(扑尔敏)	￥0.90
炙黄芪	￥0.90
牡丹皮炭	￥0.90
桑椹	￥0.91
醋乳香	￥0.91
藁本	￥0.93
北沙参	￥0.93
炒瓜蒌子	￥0.93
炒瓜蒌子	￥0.93
盐车前子	￥0.94
白术	￥0.96
牡丹皮	￥0.96
肉桂	￥0.96
生枳壳	￥0.98
焦栀子	￥0.98
枸杞	￥0.98
晕车 晕船 晕机 南京白敬宇 茶苯海明片	￥1.00
维生素B2片 口角炎 华意 一元购	￥1.00
布洛芬片 缓解疼痛 平光 一元购	￥1.00
冰樟桉氟轻松贴膏(羚锐) 一元购	￥1.00
怀孕早知道  伊士生物技术 早早孕检测试纸(伊健仕) 一元购	￥1.00
欧洁医用棉签 一元购	￥1.00
蚊香盘	￥1.00
吲哚美辛肠溶片	￥1.00
开塞露	￥1.00
天葵子	￥1.00
海诺创可贴(卡通型) 一元购	￥1.00
天葵子	￥1.00
盐酸环丙沙星胶囊(京星)  一元购	￥1.00
复方酮康唑软膏  一元购	￥1.00
醋酸地塞米松软膏  一元购	￥1.00
医用脱脂棉棉球(稳健)  一元购	￥1.00
纱布片2片装(稳健)   一元购	￥1.00
防止受其伤害 一次性使用医用橡胶检查手套  一元购	￥1.00
海诺透气胶带  一元购	￥1.00
阿苯达唑片   一元购	￥1.00
枣干(彭祖)	￥1.00
紫珠草	￥1.00
盐酸环丙沙星片	￥1.00
石斛	￥1.00
儿茶	￥1.00
海诺创可贴(一元组合装)	￥1.00
一次性阴道冲洗器	￥1.00
乙酰螺旋霉素片	￥1.00
氢氯噻嗪片	￥1.00
对乙酰氨基酚片	￥1.00
碳酸氢钠片	￥1.00
马来酸氯苯那敏片(扑尔敏) 双十一七折	￥1.00
阿昔洛韦乳膏	￥1.00
风油精	￥1.00
口服补液盐II	￥1.00
醋没药	￥1.00
槐米	￥1.00
薤白	￥1.01
赤芍	￥1.02
龙眼肉	￥1.02
豆蔻	￥1.02
补血活血 调经止痛 润肠通便 月经不调 经闭痛经 当归	￥1.03
炒当归	￥1.05
郁金	￥1.05
醋五灵脂	￥1.05
强精 消炎 镇痛 抗菌 免疫 解毒 利尿 净血等多种功效灵芝	￥1.06
鸦胆子	￥1.07
茯神	￥1.07
山药	￥1.08
用于脾胃不和 运化失食 食少胀满 倦怠乏力 表虚自汗铜陵禾田 麸炒白术	￥1.09
茯苓(彭祖)	￥1.10
何首乌(彭祖)	￥1.10
杭菊(彭祖)	￥1.10
血余炭	￥1.10
过滤效率 医用护理口罩(1只装)(稳健)	￥1.10
炒赤芍	￥1.10
槐花	￥1.12
制草乌	￥1.12
青黛	￥1.12
炒牡丹皮	￥1.13
麸炒枳壳	￥1.13
苍术	￥1.14
制吴茱萸	￥1.14
制干蟾皮	￥1.14
南沙参	￥1.16
菊花	￥1.16
五加皮	￥1.16
五加皮	￥1.16
强精 消炎 镇痛 抗菌 免疫 解毒 利尿 净血等多种功 海南吉祥蕈野生灵芝真菌生物科技 天然野生灵芝	￥1.20
理气血逐寒湿温经止痛 苏州市艾绒厂 清艾条	￥1.20
苦瓜	￥1.20
清凉喉片	￥1.20
四叶参	￥1.20
高血压-复方芦丁片	￥1.20
海诺透气胶带	￥1.20
脑立清丸	￥1.20
茶苯海明片	￥1.20
咪康唑氯倍他索乳膏(复方咪康唑软膏)	￥1.20
过氧化氢溶液(双氧水)	￥1.20
白薇	￥1.20
龙胆	￥1.20
麸炒山药	￥1.21
制天南星	￥1.23
盐橘核	￥1.24
半夏曲	￥1.25
黑顺片	￥1.26
连翘	￥1.26
枸杞子	￥1.27
当归炭	￥1.27
地骨皮	￥1.27
锦灯笼	￥1.28
明党参	￥1.29
明党参	￥1.29
牡丹皮炭	￥1.30
炒槐米	￥1.30
山柰	￥1.30
阿昔洛韦乳膏	￥1.30
制川乌	￥1.30
徐长卿	￥1.30
麸炒枳实	￥1.30
天竺子	￥1.31
佛手	￥1.31
菊花	￥1.33
松花粉	￥1.35
制白附子	￥1.35
麸炒苍术	￥1.37
制吴茱萸	￥1.37
荜茇	￥1.38
土鳖虫	￥1.39
甘草(彭祖)	￥1.40
白芍(彭祖)	￥1.40
医用脱脂棉	￥1.40
过敏皮炎异位性皮炎接触性皮炎 天津太平洋制药 醋酸氟轻松乳膏	￥1.40
红霉素眼膏	￥1.40
醋五味子	￥1.40
红豆杉	￥1.40
菟丝子	￥1.41
花椒	￥1.42
百合	￥1.42
凌霄花	￥1.43
桔梗	￥1.44
杭白菊	￥1.47
地榆炭	￥1.47
菊花	￥1.47
雄蚕蛾	￥1.48
 用于暑热口渴 功能清热 生津止渴 用治暑热口渴人参叶	￥1.50
行气血逐寒冷 苏州市艾绒厂 艾条(太乙含药)	￥1.50
炒白术(彭祖)	￥1.50
硫酸阿托品片	￥1.50
郁美净儿童霜	￥1.50
氯唑沙宗片	￥1.50
磷酸苯丙哌林片(维福佳)	￥1.50
神经损伤老年性脑功能障碍 山西亚宝药业集团 尼莫地平片	￥1.50
高血压，心绞痛-硝苯地平片	￥1.50
心脑血管病 江苏方强制药厂 复方芦丁片	￥1.50
海诺医用橡皮膏(防冻)	￥1.50
海诺医用胶带(防冻)(原医用橡皮膏)	￥1.50
医用脱脂棉	￥1.50
吲哚美辛肠溶片(消炎痛片)	￥1.50
硝苯地平片(心痛定片)	￥1.50
格列本脲片(优降糖)	￥1.50
醋酸曲安奈德尿素软膏	￥1.50
复方愈创木酚磺酸钾口服液(伤风止咳糖浆)	￥1.50
复方土槿皮酊	￥1.50
对乙酰氨基酚栓(小儿退热栓)	￥1.50
沙苑子	￥1.50
甘松	￥1.50
盐酸萘甲唑啉滴鼻液	￥1.50
玉竹	￥1.51
前胡	￥1.52
桔梗(彭祖)	￥1.60
高露洁三重波浪牙刷	￥1.60
解热-安乃近片	￥1.60
乙酰螺旋霉素片	￥1.60
射干	￥1.60
月季花	￥1.60
娑罗子	￥1.61
蜜前胡	￥1.63
石斛	￥1.65
防己	￥1.67
丁香	￥1.68
维U颠茄铝镁片(复方胃友片)(立业)	￥1.70
胎菊(彭祖)	￥1.70
氯唑沙宗片	￥1.70
呋喃唑酮片(痢特灵)	￥1.70
盐酸环丙沙星胶囊(回音必)	￥1.70
复方磺胺甲噁唑片(新诺明)	￥1.70
郁李仁	￥1.72
炒明党参	￥1.75
琥珀	￥1.78
湿疹、银屑病、扁平苔藓 上海通用 丙酸氯倍他索软膏	￥1.80
阿胶枣	￥1.80
硝苯地平片	￥1.80
舒筋活血片(百泉)	￥1.80
皮肤感染-林可霉素利多卡因凝胶	￥1.80
氯唑沙宗片(立业)	￥1.80
哈西奈德乳膏	￥1.80
清凉喉片(木棉牌)	￥1.80
华佗膏	￥1.80
碘酊	￥1.80
维C银翘片	￥1.80
仙茅	￥1.80
黑顺片	￥1.82
谷精草	￥1.83
远志	￥1.84
蒲黄	￥1.84
蜜远志	￥1.84
桃仁	￥1.86
补中益气 止渴 健脾益肺 养血生津党参	￥1.87
莲子心	￥1.87
白鲜皮	￥1.88
胡椒粉(白大川)	￥1.89
慢性胃炎  山西云鹏制药 猴头菌片	￥1.90
光山药(彭祖)	￥1.90
芡实(彭祖)	￥1.90
樟脑薄荷柳酯乳膏(必舒膏)	￥1.90
上海硫磺皂	￥1.90
甲苯咪唑片(安乐士)	￥1.90
皮肤外伤的消毒-汞溴红溶液	￥1.90
牛黄解毒片	￥1.90
盐酸雷尼替丁胶囊	￥1.90
富马酸酮替芬片	￥1.90
磺胺醋酰钠滴眼液(斑马滴眼液)	￥1.90
十滴水	￥1.90
柏子仁	￥1.96
预防心绞痛 南京白敬宇 硝酸异山梨酯片	￥2.00
纱布绷带(新倍生)	￥2.00
盐酸吗啉胍片	￥2.00
玛咖(黑)	￥2.00
替硝唑片	￥2.00
六神祛痱粉	￥2.00
上海药皂	￥2.00
鼻氧管	￥2.00
吲哚美辛肠溶片(消炎痛)(新海店)	￥2.00
盐酸氟桂利嗪胶囊(迪诺洛克)	￥2.00
三磷酸腺苷二钠片(ATP)	￥2.00
复方鱼腥草片	￥2.00
消炎止血 云南白药 云南白药创可贴	￥2.00
止痛 湖北华中 去痛片	￥2.00
糖尿病-盐酸二甲双胍片	￥2.00
醋酸氯已定栓 东信	￥2.00
医用脱脂纱布	￥2.00
医用棉签(稳健)	￥2.00
无菌创口敷贴(好易)(小)	￥2.00
脱脂棉纱布叠片	￥2.00
纱布绷带	￥2.00
脱脂棉纱布叠片	￥2.00
复方土荆皮酊	￥2.00
吡罗昔康片(炎痛喜康片)	￥2.00
吡罗昔康片	￥2.00
去痛片	￥2.00
硝苯地平片	￥2.00
盐酸环丙沙星滴眼液	￥2.00
对乙酰氨基酚片	￥2.00
珍珠明目滴眼液	￥2.00
清火片(糖衣片)	￥2.00
富马酸酮替芬片	￥2.00
盐酸赛庚啶片	￥2.00
维生素AD胶丸(淡)	￥2.00
碘酊	￥2.00
曲咪新乳膏(皮康霜)(白云山)	￥2.00
木棒棉签(棒棒棉)	￥2.00
75%乙醇(医用酒精)	￥2.00
天冬	￥2.00
氧氟沙星滴眼液 角膜炎	￥2.00
海金沙	￥2.01
醋延胡索	￥2.01
莲须	￥2.02
炒党参	￥2.02
失笑散	￥2.03
接触性湿疹 哈西奈德溶液 （达芙雅）	￥2.10
碘伏(新海店)	￥2.10
维酶素片	￥2.10
炉甘石洗剂	￥2.10
肉豆寇	￥2.10
太子参	￥2.11
太子参	￥2.11
鬼箭羽	￥2.16
合欢花	￥2.18
红花	￥2.19
消炎 武汉五景 诺氟沙星滴眼液	￥2.20
复方利血平片	￥2.20
复方利血平片	￥2.20
丙酸氯倍他索乳膏(恩肤霜)(新海店)	￥2.20
枸杞子(彭祖)	￥2.20
汰渍净白去渍柠檬清新无磷洗衣粉	￥2.20
爽身粉(六神)	￥2.20
炎可宁片	￥2.20
尿糖试纸(安健)	￥2.20
阿替洛尔片	￥2.20
消毒 医用棉签(稳健)	￥2.20
妇科外用 洁尔阴阴道冲洗器	￥2.20
高血压 山东仁和堂药业 尼群地平片	￥2.20
高血压-复方芦丁片	￥2.20
元胡止痛片 佛山德众药业有限公司	￥2.20
无菌创口敷贴(好易)(中)	￥2.20
盐酸林可霉素滴眼液	￥2.20
十滴水	￥2.20
盐酸金霉素眼膏	￥2.20
对乙酰氨基酚栓(小儿退热栓)	￥2.20
细辛	￥2.20
淫羊藿	￥2.20
煨肉豆蔻	￥2.23
茜草	￥2.24
醋鳖甲	￥2.24
银柴胡	￥2.26
开窍醒神，祛暑化浊，和中止呕 上海中华制药 龙虎人丹	￥2.30
阿昔洛韦片	￥2.30
水杨酸苯酚贴膏(鸡眼膏)	￥2.30
罗红霉素胶囊	￥2.30
天麻蜜环菌片	￥2.30
蒲黄炭	￥2.32
腊梅花	￥2.36
山豆根	￥2.39
草果	￥2.39
醋酸氟轻松乳膏(新海店)	￥2.40
麦冬(彭祖)	￥2.40
阿莫西林胶囊(珍棒)	￥2.40
中耳炎 卓峰制药 氧氟沙星滴耳液	￥2.40
麦冬(压扁)	￥2.44
钩藤	￥2.46
黄连	￥2.47
皮肤疾病 广东皮宝制药 复方酮康唑发用洗剂	￥2.50
皮肤病-丙酸氯倍他索乳膏	￥2.50
胃溃疡-奥美拉唑肠溶胶囊	￥2.50
 消炎  山东鲁抗 诺氟沙星胶囊	￥2.50
支气管哮喘 白敬宇 氨茶碱片	￥2.50
欧洁医用棉签(灭菌型)	￥2.50
愈裂贴膏	￥2.50
1583佳洁士草本水晶牙膏	￥2.50
藻酸双酯钠片(康麦尔)	￥2.50
L清凉油(白猫)	￥2.50
黄芪(彭祖)	￥2.50
黄精(彭祖)	￥2.50
甲硝唑片	￥2.50
9106护舒宝超值如意棉柔卫生巾	￥2.50
替硝唑胶囊	￥2.50
小柴胡颗粒	￥2.50
盐酸洛美沙星胶囊(洛威)	￥2.50
阿昔洛韦片	￥2.50
富马酸酮替芬片	￥2.50
脑心舒口服液	￥2.50
夜盲症、干眼症 维生素A胶丸	￥2.50
感冒防尘  纱布口罩	￥2.50
醒脑提神、晕车 上海中华制药 清凉油(龙虎)	￥2.50
胃溃疡-奥美拉唑肠溶胶囊	￥2.50
消炎  厦门金日 诺氟沙星胶囊	￥2.50
扁桃体炎 乙酰螺旋霉素	￥2.50
海诺创可贴(防水型)	￥2.50
海诺创可贴(超大装)	￥2.50
脱脂纱布	￥2.50
吲哚美辛栓(静青)(消炎痛栓)	￥2.50
罗红霉素胶囊	￥2.50
氧氟沙星片(盖洛仙)	￥2.50
阿司匹林肠溶片	￥2.50
地巴唑片	￥2.50
卡托普利片	￥2.50
奥美拉唑肠溶胶囊	￥2.50
氯化钾片	￥2.50
复方氨酚烷胺胶囊(盖克)	￥2.50
哈西奈德溶液(乐肤液)	￥2.50
利巴韦林滴眼液	￥2.50
喉症丸	￥2.50
川贝枇杷糖浆	￥2.50
罗汉果止咳糖浆	￥2.50
盐酸地芬尼多片(眩晕停片)	￥2.50
硫软膏	￥2.50
克罗米通乳膏	￥2.50
复方酮康唑软膏(皮康王)	￥2.50
风油精	￥2.50
维生素B6片	￥2.50
维生素B6片	￥2.50
风油精	￥2.50
罗汉果	￥2.50
蜜炙款冬花	￥2.51
茜草炭	￥2.53
金银花	￥2.54
 外用 阴道冲洗器	￥2.60
感冒  江西南昌 感冒清胶囊	￥2.60
大黄碳酸氢钠片	￥2.60
苯扎氯铵贴(邦迪)	￥2.60
华佗膏	￥2.60
益智仁	￥2.61
巴戟肉	￥2.68
巴戟肉	￥2.68
阵发性 室上性心动过速 南京白敬宇 盐酸普罗帕酮片	￥2.70
李字牌蚊香(檀香型加大圆)	￥2.70
替硝唑胶囊	￥2.70
盐酸萘甲唑林滴鼻液(滴鼻净)(新海店)	￥2.70
脚气病，神经炎 维生素B1片	￥2.70
维生素B1片	￥2.70
黄连上清片	￥2.70
异烟肼片	￥2.73
秦艽	￥2.79
盐酸洛美沙星胶囊(迁迪)	￥2.80
香连丸	￥2.80
卡托普利片	￥2.80
用于预防和治疗维生素B2缺乏症 南京白敬宇 维生素B2片	￥2.80
克霉唑乳膏 新和成	￥2.80
海诺透明防水创可贴	￥2.80
纱布片2片装(稳健)	￥2.80
邦迪轻巧创可贴	￥2.80
猫圈(灭虱项圈)	￥2.80
盐酸二甲双胍片	￥2.80
咪康唑氯倍他索乳膏	￥2.80
盐酸雷尼替丁胶囊	￥2.80
麝香壮骨膏	￥2.80
小儿氨酚黄那敏颗粒(盖克)	￥2.80
复方酮康唑发用洗剂(康王)	￥2.80
复方酮康唑发用洗剂	￥2.80
冰片(合成龙脑)	￥2.80
02XY碳酸氢钠片(苏打片)	￥2.80
胖大海	￥2.89
氟康唑胶囊	￥2.90
9102护舒宝超值干爽卫生巾	￥2.90
肠炎-颠茄磺苄啶片	￥2.90
医用脱脂纱布口罩	￥2.90
麝香追风膏(金寿)	￥2.90
安神补心丸	￥2.90
盐益智仁	￥2.96
九节菖蒲	￥2.97
九节菖蒲	￥2.97
用于小创伤擦伤等患处 防止细菌 异物侵入 保持伤口卫生 上海强生有限公司 B防水创可贴(邦迪)	￥3.00
抗菌消炎-阿莫西林分散片	￥3.00
枸橼酸喷托维林片	￥3.00
防水透气超薄创口贴	￥3.00
阿奇霉素肠溶片(新海店)	￥3.00
咽炎片	￥3.00
氧氟沙星滴眼液(新海店)	￥3.00
太子参(彭祖)	￥3.00
诺氟沙星胶囊(新海店)	￥3.00
四脚拐杖胶头	￥3.00
超威加大盘蚊香(微烟艾草清香)	￥3.00
